hmm_id	gene_name	bin_name	bit_score	e_value	other_stats
K00001	14_0929_02_40cm_scaffold_19_83	Rokubacteria_AR20	215	1.2e-63	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_4994_5	Gemmatimonadetes_AG3	214.5	1.6e-63	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_628_37	Acidobacteria_gp5_AA69	204.4	1.9e-60	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_422_22	Acidobacteria_gp5_AA69	202	9.9e-60	K00001.gCluster.2
K00030	14_0929_02_40cm_scaffold_82_75	Rokubacteria_AR20	198.4	1.8e-58	K00030.gCluster.1
K00001	14_1009_09_40cm_scaffold_6027_1	Acidobacteria_gp5_AA69	194.2	2.4e-57	K00001.gCluster.2
K00001	14_0919_02_20cm_scaffold_2_22	Gemmatimonadetes_AG3	187.4	2.8e-55	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_32804_2	Acidobacteria_gp5_AA69	184	3.2e-54	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_309_27	Gemmatimonadetes_AG3	168.3	1.9e-49	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_9319_2	Acidobacteria_gp5_AA69	150.7	4.1e-44	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_19_60	Rokubacteria_AR20	148.3	2.3e-43	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_46178_5	Acidobacteria_gp5_AA69	142.3	1.5e-41	K00001.gCluster.1
K00001	14_0929_02_40cm_scaffold_723_14	Rokubacteria_AR20	130.1	7.4e-38	K00001.gCluster.2
K00030	14_1009_09_40cm_scaffold_8170_1	Acidobacteria_gp5_AA69	128.9	2.2e-37	K00030.gCluster.1
K00001	14_1009_09_40cm_scaffold_3332_9	Acidobacteria_gp5_AA69	126	1.3e-36	K00001.gCluster.2
K00033	14_0929_02_40cm_scaffold_28_66	Rokubacteria_AR20	110.1	9.8e-32	K00033.gCluster.2
K00001	14_1009_09_40cm_scaffold_33237_6	Acidobacteria_gp5_AA69	105.9	1.7e-30	K00001.gCluster.2
K00001	14_0929_02_40cm_scaffold_0_174	Rokubacteria_AR20	101.8	3.2e-29	K00001.gCluster.1
K00033	14_0929_02_40cm_scaffold_138_59	Rokubacteria_AR20	100.1	1e-28	K00033.gCluster.2
K00033	14_1009_09_40cm_scaffold_6752_6	Acidobacteria_gp5_AA69	94.8	4.2e-27	K00033.gCluster.2
K00033	14_0929_02_40cm_scaffold_138_53	Rokubacteria_AR20	93.2	1.3e-26	K00033.gCluster.2
K00033	14_0929_02_40cm_scaffold_5_117	Rokubacteria_AR20	89.7	1.5e-25	K00033.gCluster.2
K00033	14_0929_02_40cm_scaffold_11_64	Rokubacteria_AR20	82.7	1.9e-23	K00033.gCluster.2
K00033	14_1009_09_40cm_scaffold_2390_11	Acidobacteria_gp5_AA69	77.2	9e-22	K00033.gCluster.2
K00001	14_0929_02_40cm_scaffold_1532_18	Rokubacteria_AR20	75.2	4e-21	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_4105_2	Acidobacteria_gp5_AA69	71.9	3.8e-20	K00001.gCluster.2
K00033	14_0929_02_40cm_scaffold_1_202	Rokubacteria_AR20	70.6	8.9e-20	K00033.gCluster.2
K00033	14_0929_02_40cm_scaffold_82_54	Rokubacteria_AR20	68.3	4.5e-19	K00033.gCluster.2
K00033	14_1009_09_40cm_scaffold_9574_9	Acidobacteria_gp5_AA69	53.5	1.4e-14	K00033.gCluster.2
K00001	14_1009_09_40cm_scaffold_3332_10	Acidobacteria_gp5_AA69	50.5	1.2e-13	K00001.gCluster.2
K00001	14_1009_09_40cm_scaffold_1333_3	Acidobacteria_gp5_AA69	28.9	4.5e-07	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_198_33	Gemmatimonadetes_AG3	25.7	4.2e-06	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_2_91	Gemmatimonadetes_AG3	23.4	2.1e-05	K00001.gCluster.1
K00001	14_1009_09_40cm_scaffold_3550_22	Acidobacteria_gp5_AA69	23.1	2.7e-05	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_193_35	Gemmatimonadetes_AG3	22.4	4.5e-05	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_14_168	Gemmatimonadetes_AG3	22.3	4.7e-05	K00001.gCluster.1
K00001	14_0919_02_20cm_scaffold_13_113	Gemmatimonadetes_AG3	22	5.6e-05	K00001.gCluster.1
